Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
40098,CA-2014-AB10015140-41954,2014/11/11,2014/11/13,First Class,AB-100151402,Aaron Bergman,Consumer,73120,Oklahoma City,Oklahoma,United States,Central US,USCA,TEC-PH-5816,Technology,Phones,Samsung Convoy 3,$221.98,2,0,$62.15,40.77,High
40099,CA-2014-AB10015140-41954,2014/11/11,2014/11/13,First Class,AB-100151402,Aaron Bergman,Consumer,73120,Oklahoma City,Oklahoma,United States,Central US,USCA,FUR-BO-5957,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",$341.96,2,0,$54.71,25.27,High
36258,CA-2012-AB10015140-40974,2012/3/6,2012/3/7,First Class,AB-100151404,Aaron Bergman,Consumer,98103,Seattle,Washington,United States,Western US,USCA,FUR-CH-4421,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",$48.71,1,0.2,$5.48,11.13,High
36259,CA-2012-AB10015140-40974,2012/3/6,2012/3/7,First Class,AB-100151404,Aaron Bergman,Consumer,98103,Seattle,Washington,United States,Western US,USCA,OFF-AR-5309,Office Supplies,Art,Newell 330,$17.94,3,0,$4.66,4.29,High
39519,CA-2012-AB10015140-40958,2012/2/19,2012/2/25,Standard Class,AB-100151402,Aaron Bergman,Consumer,76017,Arlington,Texas,United States,Central US,USCA,OFF-ST-3078,Office Supplies,Storage,Akro Stacking Bins,$12.62,2,0.2,-$2.52,1.97,Low
36260,CA-2012-AB10015140-40974,2012/3/6,2012/3/7,First Class,AB-100151404,Aaron Bergman,Consumer,98103,Seattle,Washington,United States,Western US,USCA,OFF-ST-3744,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",$242.94,3,0,$4.86,1.28,High
38460,CA-2012-AH10030140-41020,2012/4/21,2012/4/23,Second Class,AH-100301406,Aaron Hawkins,Corporate,12180,Troy,New York,United States,Eastern US,USCA,OFF-FA-6129,Office Supplies,Fasteners,Staples,$247.84,8,0,$121.44,55.2,Critical
40977,CA-2013-AH10030140-41635,2013/12/27,2013/12/31,Standard Class,AH-100301404,Aaron Hawkins,Corporate,94122,San Francisco,California,United States,Western US,USCA,TEC-PH-4389,Technology,Phones,Geemarc AmpliPOWER60,$668.16,9,0.2,$75.17,45.74,Medium
40976,CA-2013-AH10030140-41635,2013/12/27,2013/12/31,Standard Class,AH-100301404,Aaron Hawkins,Corporate,94122,San Francisco,California,United States,Western US,USCA,OFF-ST-4291,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,$323.10,2,0,$61.39,26.7,Medium
36651,CA-2012-AH10030140-41041,2012/5/12,2012/5/18,Standard Class,AH-100301404,Aaron Hawkins,Corporate,90004,Los Angeles,California,United States,Western US,USCA,FUR-CH-4840,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",$279.46,6,0.2,$20.96,11.69,Medium
40100,CA-2012-AH10030140-41273,2012/12/30,2012/12/31,First Class,AH-100301406,Aaron Hawkins,Corporate,10035,New York City,New York,United States,Eastern US,USCA,TEC-AC-6340,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",$34.77,3,0,$11.47,8.22,High
34608,CA-2014-AH10030140-41719,2014/3/21,2014/3/26,Second Class,AH-100301408,Aaron Hawkins,Corporate,39503,Gulfport,Mississippi,United States,Southern US,USCA,FUR-FU-4072,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",$86.45,7,0,$38.04,5.73,Medium
37425,US-2012-AH10030140-41206,2012/10/24,2012/10/27,First Class,AH-100301404,Aaron Hawkins,Corporate,94109,San Francisco,California,United States,Western US,USCA,OFF-BI-4372,Office Supplies,Binders,GBC VeloBind Cover Sets,$49.41,4,0.2,$18.53,2.84,High
40101,CA-2012-AH10030140-41273,2012/12/30,2012/12/31,First Class,AH-100301406,Aaron Hawkins,Corporate,10035,New York City,New York,United States,Eastern US,USCA,OFF-LA-3231,Office Supplies,Labels,Avery 51,$18.90,3,0,$8.69,1.3,High
38461,CA-2012-AH10030140-41020,2012/4/21,2012/4/23,Second Class,AH-100301406,Aaron Hawkins,Corporate,12180,Troy,New York,United States,Eastern US,USCA,OFF-BI-2937,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",$9.91,3,0.2,$3.35,1.2,Critical
36652,CA-2012-AH10030140-41041,2012/5/12,2012/5/18,Standard Class,AH-100301404,Aaron Hawkins,Corporate,90004,Los Angeles,California,United States,Western US,USCA,OFF-PA-4014,Office Supplies,Paper,EcoTones Memo Sheets,$8.00,2,0,$3.84,1.15,Medium
34496,CA-2015-AH10030140-42357,2015/12/19,2015/12/23,Standard Class,AH-100301406,Aaron Hawkins,Corporate,19134,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-AR-3276,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,$18.70,7,0.2,$2.34,1.13,Medium
32637,CA-2015-AS10045140-42007,2015/1/3,2015/1/5,First Class,AS-100451408,Aaron Smayling,Corporate,28540,Jacksonville,North Carolina,United States,Southern US,USCA,TEC-MA-3788,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,$695.70,2,0.5,-$27.83,160.19,High
33130,CA-2015-AS10045140-42218,2015/8/2,2015/8/8,Standard Class,AS-100451402,Aaron Smayling,Corporate,78745,Austin,Texas,United States,Central US,USCA,TEC-MA-3329,Technology,Machines,Bady BDG101FRU Card Printer,"$1,439.98",3,0.4,-$264.00,103.62,Medium
40834,CA-2014-AS10045140-41908,2014/9/26,2014/9/28,First Class,AS-100451404,Aaron Smayling,Corporate,94110,San Francisco,California,United States,Western US,USCA,FUR-BO-3176,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",$477.67,2,0.15,$84.29,43.01,Critical
40425,US-2015-AS10045140-42252,2015/9/5,2015/9/6,First Class,AS-100451404,Aaron Smayling,Corporate,97756,Redmond,Oregon,United States,Western US,USCA,OFF-BI-3324,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",$88.07,7,0.7,-$58.72,23.88,High
34336,CA-2015-AS10045140-42281,2015/10/4,2015/10/9,Standard Class,AS-100451404,Aaron Smayling,Corporate,91104,Pasadena,California,United States,Western US,USCA,FUR-TA-5066,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",$171.29,3,0.2,-$6.42,12.65,Medium
32639,CA-2015-AS10045140-42007,2015/1/3,2015/1/5,First Class,AS-100451408,Aaron Smayling,Corporate,28540,Jacksonville,North Carolina,United States,Southern US,USCA,OFF-BI-3308,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$28.85,6,0.7,-$21.16,5.35,High
35876,US-2012-AS10045140-41116,2012/7/26,2012/8/1,Standard Class,AS-100451406,Aaron Smayling,Corporate,10035,New York City,New York,United States,Eastern US,USCA,OFF-PA-6512,Office Supplies,Paper,Xerox 1956,$65.78,11,0,$32.23,4.36,Medium
32648,CA-2014-AS10045140-41727,2014/3/29,2014/4/1,First Class,AS-100451408,Aaron Smayling,Corporate,22204,Arlington,Virginia,United States,Southern US,USCA,OFF-ST-4516,Office Supplies,Storage,Hanging Personal Folder File,$31.40,2,0,$7.85,3.81,Medium
33131,CA-2015-AS10045140-42218,2015/8/2,2015/8/8,Standard Class,AS-100451402,Aaron Smayling,Corporate,78745,Austin,Texas,United States,Central US,USCA,OFF-PA-6557,Office Supplies,Paper,Xerox 1998,$36.29,7,0.2,$12.70,1.99,Medium
32638,CA-2015-AS10045140-42007,2015/1/3,2015/1/5,First Class,AS-100451408,Aaron Smayling,Corporate,28540,Jacksonville,North Carolina,United States,Southern US,USCA,OFF-BI-3185,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",$15.66,5,0.7,-$12.53,1.56,High
39465,CA-2015-AB10060140-42315,2015/11/7,2015/11/14,Standard Class,AB-100601404,Adam Bellavance,Home Office,98105,Seattle,Washington,United States,Western US,USCA,FUR-TA-4622,Furniture,Tables,Hon 5100 Series Wood Tables,"$2,036.86",7,0,$366.63,524.76,Low
31650,CA-2014-AB10060140-41884,2014/9/2,2014/9/4,First Class,AB-100601406,Adam Bellavance,Home Office,10009,New York City,New York,United States,Eastern US,USCA,OFF-BI-4340,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,"$4,355.17",4,0.2,"$1,415.43",82.67,Critical
39466,CA-2015-AB10060140-42315,2015/11/7,2015/11/14,Standard Class,AB-100601404,Adam Bellavance,Home Office,98105,Seattle,Washington,United States,Western US,USCA,FUR-CH-4613,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,$449.57,2,0.2,-$73.05,47.81,Low
33661,US-2014-AB10060140-41712,2014/3/14,2014/3/19,Standard Class,AB-100601408,Adam Bellavance,Home Office,22980,Waynesboro,Virginia,United States,Southern US,USCA,OFF-AP-4221,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",$160.32,2,0,$44.89,13.75,Medium
39467,CA-2015-AB10060140-42315,2015/11/7,2015/11/14,Standard Class,AB-100601404,Adam Bellavance,Home Office,98105,Seattle,Washington,United States,Western US,USCA,TEC-AC-5858,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,$108.96,3,0,$32.69,11.57,Low
40796,CA-2015-AB10060140-42314,2015/11/6,2015/11/8,First Class,AB-100601402,Adam Bellavance,Home Office,46142,Greenwood,Indiana,United States,Central US,USCA,OFF-PA-6214,Office Supplies,Paper,Strathmore Photo Mount Cards,$67.80,10,0,$31.19,7.97,High
40795,CA-2015-AB10060140-42314,2015/11/6,2015/11/8,First Class,AB-100601402,Adam Bellavance,Home Office,46142,Greenwood,Indiana,United States,Central US,USCA,OFF-FA-6129,Office Supplies,Fasteners,Staples,$167.94,3,0,$82.29,6.61,High
31647,CA-2014-AB10060140-41884,2014/9/2,2014/9/4,First Class,AB-100601406,Adam Bellavance,Home Office,10009,New York City,New York,United States,Eastern US,USCA,OFF-PA-6430,Office Supplies,Paper,Xerox 1881,$24.56,2,0,$11.54,6.53,Critical
31649,CA-2014-AB10060140-41884,2014/9/2,2014/9/4,First Class,AB-100601406,Adam Bellavance,Home Office,10009,New York City,New York,United States,Eastern US,USCA,OFF-PA-6430,Office Supplies,Paper,Xerox 1881,$49.12,4,0,$23.09,6.22,Critical
36297,CA-2015-AB10060140-42132,2015/5/8,2015/5/13,Standard Class,AB-100601404,Adam Bellavance,Home Office,90004,Los Angeles,California,United States,Western US,USCA,TEC-AC-5109,Technology,Accessories,Logitech G600 MMO Gaming Mouse,$79.99,1,0,$28.80,5.44,Medium
33660,US-2014-AB10060140-41712,2014/3/14,2014/3/19,Standard Class,AB-100601408,Adam Bellavance,Home Office,22980,Waynesboro,Virginia,United States,Southern US,USCA,FUR-FU-4762,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",$127.88,2,0,$40.92,3.15,Medium
33662,US-2014-AB10060140-41712,2014/3/14,2014/3/19,Standard Class,AB-100601408,Adam Bellavance,Home Office,22980,Waynesboro,Virginia,United States,Southern US,USCA,OFF-BI-4819,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,$46.00,4,0,$20.70,2.72,Medium
32472,CA-2014-AB10060140-41881,2014/8/30,2014/9/4,Standard Class,AB-100601406,Adam Bellavance,Home Office,03301,Concord,New Hampshire,United States,Eastern US,USCA,OFF-SU-2972,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,$27.93,3,0,$8.10,2.16,Medium
36347,CA-2013-AB10060140-41535,2013/9/18,2013/9/24,Standard Class,AB-100601404,Adam Bellavance,Home Office,98198,Des Moines,Washington,United States,Western US,USCA,OFF-PA-6420,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",$18.54,2,0,$8.71,1.69,Medium
31648,CA-2014-AB10060140-41884,2014/9/2,2014/9/4,First Class,AB-100601406,Adam Bellavance,Home Office,10009,New York City,New York,United States,Eastern US,USCA,OFF-BI-2911,Office Supplies,Binders,Acco Hanging Data Binders,$3.05,1,0.2,$1.07,1.67,Critical
31646,CA-2014-AB10060140-41884,2014/9/2,2014/9/4,First Class,AB-100601406,Adam Bellavance,Home Office,10009,New York City,New York,United States,Eastern US,USCA,TEC-AC-5744,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,$6.79,1,0,$2.31,1.31,Critical
34330,CA-2015-AB10060140-42264,2015/9/17,2015/9/22,Standard Class,AB-100601406,Adam Bellavance,Home Office,19143,Philadelphia,Pennsylvania,United States,Eastern US,USCA,OFF-PA-6596,Office Supplies,Paper,Xerox 231,$20.74,4,0.2,$7.26,1.23,High
40794,CA-2015-AB10060140-42314,2015/11/6,2015/11/8,First Class,AB-100601402,Adam Bellavance,Home Office,46142,Greenwood,Indiana,United States,Central US,USCA,OFF-PA-3114,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",$4.41,1,0,$2.03,1.21,High
